[[-1.3738819   0.43248686 -0.12793415]],0.25
[[-0.2509549  -0.14532119 -0.91175246]],0.45
[[ 0.24649977  0.55216163 -0.78125735]],1.06
[[ 1.35171499  0.07783831 -0.34199715]],0.46
[[-0.84466774 -1.13147982 -0.14540995]],0.16
[[-1.41865511  0.21210301 -0.20260974]],0.41
[[-1.23883877  0.0182441  -0.42723727]],0.58
[[ -6.30882783e-01   1.33144827e+00   6.49178245e-04]],0.32
[[ 0.33950321 -1.09877657 -0.49361171]],0.29
[[ 0.7477244   1.19142642 -0.11732693]],0.12
[[-1.25470828  0.05691656 -0.3979259 ]],0.48
[[ 0.80377837 -1.01619418 -0.34778605]],0.14
[[ 0.00676622 -0.69167313 -0.72250032]],1.34
[[-0.92647727 -0.81943648 -0.44296929]],0.13
[[-0.22515713  1.41743373 -0.21523596]],0.17
[[-0.47027621 -0.79030433 -0.60512702]],0.68
[[ 1.29447762  0.4081519  -0.31049437]],0.33
[[-0.90115239  0.1957889  -0.61622043]],0.29
[[-1.08005199 -0.56551379 -0.35734033]],0.22
[[ 1.4431762   0.00619398 -0.21517011]],0.42
[[ 1.15722107  0.16024561 -0.45689257]],0.51
[[-0.32940243 -1.19814713 -0.39688599]],0.44
[[ 1.17157964 -0.43439766 -0.40319184]],0.21
[[ 1.01370548  0.37692394 -0.52891112]],0.07
[[ 0.05289248  1.05446279 -0.55154958]],0.1
[[-0.75582846 -0.36592737 -0.68379038]],0.72
[[ 0.25028879 -1.35187466 -0.30128425]],0.37
[[-0.82394896 -0.44326931 -0.59895895]],0.44
[[ 0.83489797  1.08738107 -0.29288617]],0.15
[[ 1.18620775  0.07460061 -0.47144929]],0.27
[[-0.52584244 -1.1627363  -0.37535338]],0.07
[[-1.09201558 -0.65401027 -0.36477382]],0.14
[[-0.16848617 -1.26918599 -0.40748677]],0.45
[[ 0.46127627  0.98160757 -0.49899967]],0.06
[[ 0.28370113  1.43884793 -0.09341372]],0.24
[[ 0.31872778  0.93143022 -0.57854915]],0.25
[[-0.12115448  1.48874635 -0.04361949]],0.09
[[ 0.23198136  0.40801882 -0.84057317]],0.81
[[ 0.34168525 -0.99030258 -0.5673744 ]],0.04
[[ 1.49616525  0.12087857 -0.04389999]],0.16
[[ 0.20777731 -1.07379865 -0.52459124]],0.26
[[-0.81011595  0.47504074 -0.63195996]],0.44
[[ 0.14216139  1.44653119 -0.16870653]],0.22
[[-1.43767751 -0.29047471 -0.0694891 ]],0.21
[[-0.86346568 -0.72598347 -0.44872282]],0.15
[[ 1.3105697   0.22186366 -0.32595594]],0.47
[[ 0.81899769 -0.3776909  -0.65737999]],0.64
[[ 0.33225852  1.23227504 -0.37072818]],0.45
[[-0.57520584  0.97856831 -0.51042111]],0.05
[[-1.18977645 -0.78786814 -0.10710279]],0.38
[[ 1.30703713  0.62906039 -0.05634948]],0.32
[[-0.21796944 -1.47382106 -0.03952604]],0.1
