[[ 0.55343602 -0.41494832 -0.77370195]],0.08
[[ 0.25038499 -1.04435198 -0.55414124]],0.01
[[-1.02783304  0.55795995 -0.44302143]],0.03
[[ 1.4112687  -0.53815942 -0.12115376]],0.01
[[-0.2628416   1.2908893  -0.25174142]],0.02
[[ 1.0683515   0.84953619 -0.04394799]],0.01
[[-0.75769987 -0.09521902 -0.69039095]],0.1
[[ 0.53706553  1.082198   -0.4098507 ]],0.06
[[ 0.17108796 -0.87117033 -0.60190362]],0.02
[[ 0.58521835  1.13427942 -0.26425861]],0.08
[[-0.53439692 -0.25103556 -0.70825353]],0.1
[[ 0.17378554 -0.91458919 -0.58802782]],0.01
[[ 0.12359003 -0.12109505 -0.91794955]],0.03
[[ 0.47812961  1.38564012 -0.0568662 ]],0.04
[[-0.0860837   0.67376987 -0.67877537]],0.11
[[ 0.33711068  0.75741148 -0.6976932 ]],0.07
[[-0.72553626 -0.40461096 -0.68384079]],0.05
[[-1.38328698 -0.40674619  0.03345842]],0.02
[[-0.45081286 -1.0489409  -0.48731596]],0.0
[[ 0.6723045  -0.53324831 -0.61170576]],0.04
[[-0.94847331 -1.24574195 -0.12504742]],0.04
[[-0.26644922  1.26988756 -0.32463271]],0.07
[[ 0.24395444  0.37598372 -0.82987287]],0.07
[[ 1.24480015 -0.22394022 -0.3266079 ]],0.03
[[-0.69289095  0.50068841 -0.64746185]],0.07
[[-1.3754393   0.15096506 -0.11832305]],0.03
[[ 0.14701704  0.19817853 -0.92325851]],0.03
[[-0.86019127  0.4973204  -0.70501589]],0.03
[[-1.35138269  0.12133245 -0.18461162]],0.02
[[ 0.1729051   1.11958901 -0.53061064]],0.07
[[-0.77473475 -0.35720676 -0.63884183]],0.05
[[ 1.4067178   0.223049   -0.04868537]],0.04
[[-1.04288442 -0.13351037 -0.52422104]],0.03
[[ 0.05379423  0.58675723 -0.78223749]],0.1
[[-0.30666508  0.45250069 -0.78774278]],0.12
[[-0.02394094 -0.43008444 -0.85572916]],0.06
[[-0.45161516  1.51045031 -0.09972895]],0.03
[[-0.78422961 -1.16990626 -0.07989908]],0.05
[[-0.30873715 -0.63717451 -0.6793786 ]],0.12
[[ 0.43477014 -0.77055304 -0.63144216]],0.03
[[-0.16942559  0.27335528 -0.90040362]],0.05
[[-1.00891919 -0.91491963 -0.12719051]],0.01
[[-0.14159107  1.46204446 -0.14446908]],0.01
[[-0.42164911  1.04528196 -0.47843299]],0.01
[[ 1.05865373  0.86150138 -0.21680162]],0.04
[[-0.45995903 -0.40155036 -0.81891044]],0.1
[[ 0.51104468 -0.11471539 -0.7889402 ]],0.1
[[ 0.89125323  0.74940742 -0.5066562 ]],0.02
[[-0.90990043  0.92000882  0.11560799]],0.04
[[ 1.47772299  0.25303516 -0.19683721]],0.04
[[ 0.86891254 -0.70842122 -0.43053705]],0.02
[[ 0.62661903  0.09501185 -0.75780836]],0.12
[[ 1.39512719  0.34049998 -0.05467375]],0.01
[[-0.39471652 -1.35413734 -0.34919155]],0.04
[[-0.20833917 -0.37313773 -0.873003  ]],0.08
[[-1.26018029  0.59773284 -0.09658059]],0.05
[[-0.87737425  0.40352981 -0.59608835]],0.04
[[-0.88556939 -0.8535941  -0.30048958]],0.04
[[ 1.29680983  0.35732846 -0.33605457]],0.01
[[ 1.41589418  0.19329091 -0.31094597]],0.05
[[ 0.47714582 -0.40868798 -0.78883229]],0.1
[[-0.55767978 -0.65775259 -0.62991082]],0.05
[[-0.77678046 -0.24415414 -0.76997858]],0.12
[[-0.19508123 -1.52454953 -0.27878274]],0.06
[[ 0.21455439  1.30478388 -0.42358142]],0.05
[[ 0.09199298 -0.97875722 -0.63280379]],0.01
[[ 0.15674636  1.00101236 -0.55795212]],0.02
[[-0.96612028  0.9938725  -0.05449748]],0.01
[[ 0.64834201  0.79400184 -0.63337282]],0.05
[[ 0.91337261 -0.25928848 -0.7095177 ]],0.06
[[-0.58399999  0.55020949 -0.6677866 ]],0.07
[[-0.63824986  0.85312835 -0.4991961 ]],0.01
[[-1.30177683 -0.38212664 -0.20034841]],0.05
[[-0.53919702 -1.20367273 -0.10839638]],0.06
[[ 0.72459944 -1.18428224 -0.15908714]],0.02
[[ 0.75093225 -0.17364599 -0.64499868]],0.08
[[ 0.00524399  1.15962481 -0.40727381]],0.06
[[-1.12049381 -0.31562904 -0.45536045]],0.04
[[ 1.26322235  0.46539289 -0.27209144]],0.03
[[ 0.35479362 -1.29517329 -0.09462513]],0.05
[[ 1.27255064 -0.28501735 -0.49574901]],0.05
[[ 0.67992353  1.08344133 -0.17459142]],0.05
[[-0.48674815 -1.02559921 -0.5713373 ]],0.04
[[ 0.64088945 -1.11241425 -0.26149288]],0.04
[[-0.33981594 -0.4172626  -0.84751489]],0.08
[[ 0.86337831  1.11521117 -0.19717414]],0.0
[[ 1.291749    0.36128166 -0.14501309]],0.05
[[ 0.43375022 -1.24316468 -0.37281931]],0.02
[[ 1.1630652   0.87797737 -0.1288637 ]],0.03
[[-0.97479613 -0.46622169 -0.4618124 ]],0.0
[[ 0.62960732  0.7117742  -0.65203974]],0.02
[[-1.41697533 -0.60487626 -0.02478134]],0.05
[[-0.41937184 -0.26066504 -0.80692832]],0.08
[[-0.02075481 -0.81133501 -0.62725893]],0.11
[[-0.33369043 -1.44240127 -0.12384435]],0.03
[[ 0.3056818  -0.73287    -0.55808561]],0.06
[[-1.10703631 -0.38362959 -0.35170443]],0.04
[[-0.8384402   1.04803567 -0.48268219]],0.01
[[-0.24900189  1.15732168 -0.41548637]],0.04
[[ 0.20828765  1.3949415  -0.15905838]],0.01
[[ 1.08646727 -1.03213142 -0.04666989]],0.02
[[-0.19674896  1.04228588 -0.47245985]],0.04
[[-0.88536734  0.861202   -0.33330245]],0.02
[[-0.87187445  0.81520886 -0.28320815]],0.01
[[-1.12943333  0.65700828 -0.19535224]],0.07
[[ 0.89601729  0.13668765 -0.58947608]],0.08
[[ 1.26387865  0.02767932 -0.45385326]],0.02
[[ 0.94683818  1.00142582 -0.01262566]],0.04
[[ 0.15658926 -0.16728804 -0.93854713]],0.03
[[ 1.00380566  0.40579535 -0.37386997]],0.03
[[ 0.48281772  1.06157971 -0.35676586]],0.05
[[ 0.83209935  0.66504783 -0.54594612]],0.03
[[ 0.69514065  0.56824805 -0.58214275]],0.09
[[ 1.14972215  0.20697443 -0.44752868]],0.01
[[-0.96273844  0.13991716 -0.59204941]],0.0
[[ 1.03052934  0.6171764  -0.42993463]],0.01
[[ 0.67833203  1.0966899  -0.23129518]],0.03
[[ 0.64990248  1.26036778 -0.05790707]],0.01
[[-0.38666278 -1.31860605  0.03062647]],0.05
[[ 0.73183962  0.6592469  -0.67960458]],0.02
[[-1.24063993  0.61705546  0.03106503]],0.05
[[ 0.53272791 -0.01715274 -0.78548544]],0.1
[[ 0.24227899  0.51102489 -0.7935839 ]],0.1
[[ 0.30535837 -1.35636063 -0.2714389 ]],0.03
[[-0.64846288 -0.84354145 -0.59647135]],0.0
[[-1.17448264 -0.63074383 -0.08742694]],0.0
[[ 0.60685098 -0.74297304 -0.61172078]],0.02
[[ 1.41051664 -0.03342241 -0.06084809]],0.01
